zona,mes,C3,CB,diferencia_kWh,variacion_pct
PRIMERAPLANTAALTA:1PAXPAS,5,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXPAS,6,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXPAS,7,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXPAS,8,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXPAS,9,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXPAS,10,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXPAS,11,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXPAS,12,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXSR,1,321.5965609244029,326.53935523860457,-4.942794314201649,-1.5136902290353071
PRIMERAPLANTAALTA:1PAXSR,2,374.7625995500226,381.59010883169765,-6.82750928167502,-1.7892259583401124
PRIMERAPLANTAALTA:1PAXSR,3,461.8864599552236,473.0710268483614,-11.184566893137799,-2.3642468590076877
PRIMERAPLANTAALTA:1PAXSR,4,418.2129198247188,422.740211464171,-4.527291639452187,-1.0709394367220952
PRIMERAPLANTAALTA:1PAXSR,5,412.94799062225303,417.7017904509093,-4.75379982865627,-1.138084618580289
PRIMERAPLANTAALTA:1PAXSR,6,256.88365491236215,260.0275560931164,-3.1439011807542556,-1.20906461914691
PRIMERAPLANTAALTA:1PAXSR,7,157.30989134348403,161.63955059538628,-4.329659251902257,-2.678589018562787
PRIMERAPLANTAALTA:1PAXSR,8,121.81434563825292,129.6055272564849,-7.791181618231974,-6.011457831434529
PRIMERAPLANTAALTA:1PAXSR,9,78.63760121584154,92.1292961785167,-13.491694962675155,-14.64430482192399
PRIMERAPLANTAALTA:1PAXSR,10,97.54794645150396,104.13114106118485,-6.583194609680888,-6.322022924739457
PRIMERAPLANTAALTA:1PAXSR,11,82.63205824202039,86.2695078480608,-3.6374496060404056,-4.216379224565346
PRIMERAPLANTAALTA:1PAXSR,12,194.16632307355349,197.86073793933403,-3.6944148657805442,-1.867179362746179
PRIMERAPLANTAALTA:ASCENSOR,1,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,2,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,3,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,4,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,5,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,6,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,7,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,8,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,9,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,10,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,11,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,12,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,1,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,2,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,3,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,4,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,5,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,6,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,7,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,8,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,9,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,10,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,11,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,12,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXCAF,1,327.8890252470639,334.28759296885227,-6.398567721788368,-1.914090698060865
SEGUNDAPLANTAALTA:2PAXCAF,2,386.86154601726287,393.94816235566805,-7.086616338405179,-1.7988702615160754
SEGUNDAPLANTAALTA:2PAXCAF,3,485.84246070041803,494.4098446458747,-8.567383945456697,-1.7328505971787758
SEGUNDAPLANTAALTA:2PAXCAF,4,405.4689476027765,411.51162321913336,-6.04267561635686,-1.4684094629179125
SEGUNDAPLANTAALTA:2PAXCAF,5,353.68628462897,361.60672443601464,-7.920439807044659,-2.190346382357212
SEGUNDAPLANTAALTA:2PAXCAF,6,154.94146173601308,160.24296175045728,-5.301500014444201,-3.3084136467098673
SEGUNDAPLANTAALTA:2PAXCAF,7,86.26435828745316,88.94688678597475,-2.6825284985215916,-3.0158767725916356
SEGUNDAPLANTAALTA:2PAXCAF,8,51.90023885268104,55.312689292444176,-3.412450439763134,-6.169380811916664
SEGUNDAPLANTAALTA:2PAXCAF,9,35.73446658046731,38.94296645822456,-3.208499877757248,-8.238971422988833
SEGUNDAPLANTAALTA:2PAXCAF,10,62.678432108781664,66.35879605276858,-3.6803639439869187,-5.546158403869006
SEGUNDAPLANTAALTA:2PAXCAF,11,62.02752553434067,64.6422790047493,-2.6147534704086297,-4.044958672042678
SEGUNDAPLANTAALTA:2PAXCAF,12,165.95381676310242,171.8127358185992,-5.858919055496784,-3.4100609757373643
SEGUNDAPLANTAALTA:2PAXES,1,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,2,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,3,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,4,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,5,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,6,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,7,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,8,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,9,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,10,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,11,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,12,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,1,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,2,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,3,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,4,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,5,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,6,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,7,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,8,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,9,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,10,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,11,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,12,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXSUM,1,853.5672705846391,867.0325083660408,-13.465237781401697,-1.553025711432378
SEGUNDAPLANTAALTA:2PAXSUM,2,956.9869789542463,970.5145782514231,-13.527599297176835,-1.393858433486854
SEGUNDAPLANTAALTA:2PAXSUM,3,1128.2070049362503,1149.908457765516,-21.70145282926569,-1.8872330821390437
SEGUNDAPLANTAALTA:2PAXSUM,4,926.0680552601256,937.3438758403215,-11.275820580195955,-1.2029545261697334
SEGUNDAPLANTAALTA:2PAXSUM,5,803.1645195965186,817.6072840801492,-14.442764483630526,-1.766467198231898
SEGUNDAPLANTAALTA:2PAXSUM,6,413.4552223801326,430.83418083806697,-17.378958457934345,-4.0337928676244905
SEGUNDAPLANTAALTA:2PAXSUM,7,210.90616872960206,222.7959679431981,-11.889799213596035,-5.336631234110728
SEGUNDAPLANTAALTA:2PAXSUM,8,164.24227181556884,189.38366236407944,-25.1413905485106,-13.275374567515591
SEGUNDAPLANTAALTA:2PAXSUM,9,139.37869384682708,179.25430746755927,-39.875613620732196,-22.245274986180583
SEGUNDAPLANTAALTA:2PAXSUM,10,264.79687941464124,291.2777498246327,-26.48087040999144,-9.091278144634998
SEGUNDAPLANTAALTA:2PAXSUM,11,281.14576764389136,294.98960011026423,-13.843832466372874,-4.692990010901464
SEGUNDAPLANTAALTA:2PAXSUM,12,539.6026851878138,556.0988335281387,-16.496148340324908,-2.9664058519357064
SEGUNDAPLANTAALTA:ASCENSOR,1,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,2,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,3,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,4,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,5,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,6,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,7,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,8,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,9,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,10,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,11,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:ASCENSOR,12,0.0,0.0,0.0,
