caso,zona,mes,variable,valor,horas
CB,PRIMERAPLANTAALTA:1PAXOFX02,9,temperatura_operativa_C,25.10753385943123,720
CB,PRIMERAPLANTAALTA:1PAXOFX02,10,temperatura_operativa_C,25.294318296299533,744
CB,PRIMERAPLANTAALTA:1PAXOFX02,11,temperatura_operativa_C,25.22953875726374,720
CB,PRIMERAPLANTAALTA:1PAXOFX02,12,temperatura_operativa_C,26.11827513286709,744
CB,PRIMERAPLANTAALTA:1PAXBAX02,1,temperatura_operativa_C,28.734080530113964,744
CB,PRIMERAPLANTAALTA:1PAXBAX02,2,temperatura_operativa_C,29.80449481843926,672
CB,PRIMERAPLANTAALTA:1PAXBAX02,3,temperatura_operativa_C,30.80169280465347,744
CB,PRIMERAPLANTAALTA:1PAXBAX02,4,temperatura_operativa_C,28.542154050279898,720
CB,PRIMERAPLANTAALTA:1PAXBAX02,5,temperatura_operativa_C,28.289654557534035,744
CB,PRIMERAPLANTAALTA:1PAXBAX02,6,temperatura_operativa_C,26.646661848720537,720
CB,PRIMERAPLANTAALTA:1PAXBAX02,7,temperatura_operativa_C,25.33824403353947,744
CB,PRIMERAPLANTAALTA:1PAXBAX02,8,temperatura_operativa_C,25.694733743038054,744
CB,PRIMERAPLANTAALTA:1PAXBAX02,9,temperatura_operativa_C,25.625896823169988,720
CB,PRIMERAPLANTAALTA:1PAXBAX02,10,temperatura_operativa_C,26.251542098527246,744
CB,PRIMERAPLANTAALTA:1PAXBAX02,11,temperatura_operativa_C,26.234556631422986,720
CB,PRIMERAPLANTAALTA:1PAXBAX02,12,temperatura_operativa_C,27.371492616446847,744
CB,PRIMERAPLANTAALTA:1PAXBAX01,1,temperatura_operativa_C,29.24302841198718,744
CB,PRIMERAPLANTAALTA:1PAXBAX01,2,temperatura_operativa_C,30.10181656317677,672
CB,PRIMERAPLANTAALTA:1PAXBAX01,3,temperatura_operativa_C,30.868384717446535,744
CB,PRIMERAPLANTAALTA:1PAXBAX01,4,temperatura_operativa_C,29.025542002284258,720
CB,PRIMERAPLANTAALTA:1PAXBAX01,5,temperatura_operativa_C,28.37324557535845,744
CB,PRIMERAPLANTAALTA:1PAXBAX01,6,temperatura_operativa_C,26.889802734268187,720
CB,PRIMERAPLANTAALTA:1PAXBAX01,7,temperatura_operativa_C,25.593535848651477,744
CB,PRIMERAPLANTAALTA:1PAXBAX01,8,temperatura_operativa_C,25.61346775974546,744
CB,PRIMERAPLANTAALTA:1PAXBAX01,9,temperatura_operativa_C,25.67721580411169,720
CB,PRIMERAPLANTAALTA:1PAXBAX01,10,temperatura_operativa_C,26.414638898022854,744
CB,PRIMERAPLANTAALTA:1PAXBAX01,11,temperatura_operativa_C,26.598803290032752,720
CB,PRIMERAPLANTAALTA:1PAXBAX01,12,temperatura_operativa_C,27.73553988345991,744
CB,PRIMERAPLANTAALTA:ATRIO1PA,1,temperatura_operativa_C,28.882601918394762,744
CB,PRIMERAPLANTAALTA:ATRIO1PA,2,temperatura_operativa_C,29.627636158592704,672
CB,PRIMERAPLANTAALTA:ATRIO1PA,3,temperatura_operativa_C,30.55872830594649,744
CB,PRIMERAPLANTAALTA:ATRIO1PA,4,temperatura_operativa_C,28.782241605501078,720
CB,PRIMERAPLANTAALTA:ATRIO1PA,5,temperatura_operativa_C,28.28478344915208,744
CB,PRIMERAPLANTAALTA:ATRIO1PA,6,temperatura_operativa_C,26.80886850579503,720
CB,PRIMERAPLANTAALTA:ATRIO1PA,7,temperatura_operativa_C,25.474980280248968,744
CB,PRIMERAPLANTAALTA:ATRIO1PA,8,temperatura_operativa_C,25.47009973417849,744
CB,PRIMERAPLANTAALTA:ATRIO1PA,9,temperatura_operativa_C,25.311816678138605,720
CB,PRIMERAPLANTAALTA:ATRIO1PA,10,temperatura_operativa_C,25.964663894828874,744
CB,PRIMERAPLANTAALTA:ATRIO1PA,11,temperatura_operativa_C,26.081064983797944,720
CB,PRIMERAPLANTAALTA:ATRIO1PA,12,temperatura_operativa_C,27.245111244043304,744
CB,PRIMERAPLANTAALTA:1PAXOFX03,1,temperatura_operativa_C,27.274715759433015,744
CB,PRIMERAPLANTAALTA:1PAXOFX03,2,temperatura_operativa_C,28.115465307247806,672
CB,PRIMERAPLANTAALTA:1PAXOFX03,3,temperatura_operativa_C,28.87994098667067,744
CB,PRIMERAPLANTAALTA:1PAXOFX03,4,temperatura_operativa_C,27.729570137275804,720
CB,PRIMERAPLANTAALTA:1PAXOFX03,5,temperatura_operativa_C,27.523971093434568,744
CB,PRIMERAPLANTAALTA:1PAXOFX03,6,temperatura_operativa_C,26.24348280115176,720
CB,PRIMERAPLANTAALTA:1PAXOFX03,7,temperatura_operativa_C,24.99887616071682,744
CB,PRIMERAPLANTAALTA:1PAXOFX03,8,temperatura_operativa_C,24.951657923235576,744
CB,PRIMERAPLANTAALTA:1PAXOFX03,9,temperatura_operativa_C,24.71053969429893,720
CB,PRIMERAPLANTAALTA:1PAXOFX03,10,temperatura_operativa_C,25.054974255723433,744
CB,PRIMERAPLANTAALTA:1PAXOFX03,11,temperatura_operativa_C,25.01898681703257,720
CB,PRIMERAPLANTAALTA:1PAXOFX03,12,temperatura_operativa_C,26.06744335917348,744
CB,PRIMERAPLANTAALTA:1PAXOFX01,1,temperatura_operativa_C,28.069251586224492,744
CB,PRIMERAPLANTAALTA:1PAXOFX01,2,temperatura_operativa_C,28.91073952297466,672
CB,PRIMERAPLANTAALTA:1PAXOFX01,3,temperatura_operativa_C,29.69018897007645,744
CB,PRIMERAPLANTAALTA:1PAXOFX01,4,temperatura_operativa_C,28.105573140534478,720
CB,PRIMERAPLANTAALTA:1PAXOFX01,5,temperatura_operativa_C,27.603727470243857,744
CB,PRIMERAPLANTAALTA:1PAXOFX01,6,temperatura_operativa_C,26.29652278405638,720
CB,PRIMERAPLANTAALTA:1PAXOFX01,7,temperatura_operativa_C,25.136561825082573,744
CB,PRIMERAPLANTAALTA:1PAXOFX01,8,temperatura_operativa_C,25.206476260513448,744
CB,PRIMERAPLANTAALTA:1PAXOFX01,9,temperatura_operativa_C,25.19425659290012,720
CB,PRIMERAPLANTAALTA:1PAXOFX01,10,temperatura_operativa_C,25.721770814498438,744
CB,PRIMERAPLANTAALTA:1PAXOFX01,11,temperatura_operativa_C,25.76059883731875,720
CB,PRIMERAPLANTAALTA:1PAXOFX01,12,temperatura_operativa_C,26.766541682589907,744
CB,SEGUNDAPLANTAALTA:2PAXBAX01,1,temperatura_operativa_C,29.37426322965539,744
CB,SEGUNDAPLANTAALTA:2PAXBAX01,2,temperatura_operativa_C,30.708125752222138,672
CB,SEGUNDAPLANTAALTA:2PAXBAX01,3,temperatura_operativa_C,31.844828539252948,744
CB,SEGUNDAPLANTAALTA:2PAXBAX01,4,temperatura_operativa_C,29.223241754885258,720
CB,SEGUNDAPLANTAALTA:2PAXBAX01,5,temperatura_operativa_C,28.988928038259317,744
CB,SEGUNDAPLANTAALTA:2PAXBAX01,6,temperatura_operativa_C,27.034083501746405,720
CB,SEGUNDAPLANTAALTA:2PAXBAX01,7,temperatura_operativa_C,25.451055668158123,744
CB,SEGUNDAPLANTAALTA:2PAXBAX01,8,temperatura_operativa_C,25.95194520226523,744
CB,SEGUNDAPLANTAALTA:2PAXBAX01,9,temperatura_operativa_C,25.883516431457384,720
CB,SEGUNDAPLANTAALTA:2PAXBAX01,10,temperatura_operativa_C,26.60751235559863,744
CB,SEGUNDAPLANTAALTA:2PAXBAX01,11,temperatura_operativa_C,26.58408318843174,720
CB,SEGUNDAPLANTAALTA:2PAXBAX01,12,temperatura_operativa_C,27.862351861382596,744
CB,SEGUNDAPLANTAALTA:2PAXCAF,1,temperatura_operativa_C,27.845780168585964,744
CB,SEGUNDAPLANTAALTA:2PAXCAF,2,temperatura_operativa_C,28.848540948709623,672
CB,SEGUNDAPLANTAALTA:2PAXCAF,3,temperatura_operativa_C,29.79839910747679,744
CB,SEGUNDAPLANTAALTA:2PAXCAF,4,temperatura_operativa_C,28.188458412532015,720
CB,SEGUNDAPLANTAALTA:2PAXCAF,5,temperatura_operativa_C,28.092700350275326,744
CB,SEGUNDAPLANTAALTA:2PAXCAF,6,temperatura_operativa_C,26.774473313100184,720
CB,SEGUNDAPLANTAALTA:2PAXCAF,7,temperatura_operativa_C,25.51471649750291,744
CB,SEGUNDAPLANTAALTA:2PAXCAF,8,temperatura_operativa_C,25.779105794955345,744
CB,SEGUNDAPLANTAALTA:2PAXCAF,9,temperatura_operativa_C,25.603451085265796,720
CB,SEGUNDAPLANTAALTA:2PAXCAF,10,temperatura_operativa_C,25.943850521438563,744
CB,SEGUNDAPLANTAALTA:2PAXCAF,11,temperatura_operativa_C,25.837298020319015,720
CB,SEGUNDAPLANTAALTA:2PAXCAF,12,temperatura_operativa_C,26.69525548793841,744
CB,SEGUNDAPLANTAALTA:2PAXES,1,temperatura_operativa_C,27.48670192879855,744
CB,SEGUNDAPLANTAALTA:2PAXES,2,temperatura_operativa_C,28.89495893825352,672
CB,SEGUNDAPLANTAALTA:2PAXES,3,temperatura_operativa_C,30.19083208486588,744
CB,SEGUNDAPLANTAALTA:2PAXES,4,temperatura_operativa_C,28.44302090371274,720
CB,SEGUNDAPLANTAALTA:2PAXES,5,temperatura_operativa_C,28.360919328667045,744
CB,SEGUNDAPLANTAALTA:2PAXES,6,temperatura_operativa_C,26.502581617768666,720
CB,SEGUNDAPLANTAALTA:2PAXES,7,temperatura_operativa_C,24.88220150482405,744
CB,SEGUNDAPLANTAALTA:2PAXES,8,temperatura_operativa_C,24.874187177472006,744
CB,SEGUNDAPLANTAALTA:2PAXES,9,temperatura_operativa_C,24.435102530031696,720
CB,SEGUNDAPLANTAALTA:2PAXES,10,temperatura_operativa_C,24.813036139375367,744
CB,SEGUNDAPLANTAALTA:2PAXES,11,temperatura_operativa_C,24.723413955743254,720
CB,SEGUNDAPLANTAALTA:2PAXES,12,temperatura_operativa_C,25.864242176636438,744
CB,SEGUNDAPLANTAALTA:2PAXSUM,1,temperatura_operativa_C,28.088673322222313,744
CB,SEGUNDAPLANTAALTA:2PAXSUM,2,temperatura_operativa_C,29.06103667648851,672
CB,SEGUNDAPLANTAALTA:2PAXSUM,3,temperatura_operativa_C,29.908198669192007,744
CB,SEGUNDAPLANTAALTA:2PAXSUM,4,temperatura_operativa_C,28.206358030050747,720
CB,SEGUNDAPLANTAALTA:2PAXSUM,5,temperatura_operativa_C,27.854607044378227,744
CB,SEGUNDAPLANTAALTA:2PAXSUM,6,temperatura_operativa_C,26.503216831411827,720
CB,SEGUNDAPLANTAALTA:2PAXSUM,7,temperatura_operativa_C,25.27645937936056,744
CB,SEGUNDAPLANTAALTA:2PAXSUM,8,temperatura_operativa_C,25.44222764925828,744
CB,SEGUNDAPLANTAALTA:2PAXSUM,9,temperatura_operativa_C,25.392108238668506,720
CB,SEGUNDAPLANTAALTA:2PAXSUM,10,temperatura_operativa_C,25.896918347507878,744
CB,SEGUNDAPLANTAALTA:2PAXSUM,11,temperatura_operativa_C,25.87435687905273,720
CB,SEGUNDAPLANTAALTA:2PAXSUM,12,temperatura_operativa_C,26.823011934033794,744
CB,SEGUNDAPLANTAALTA:ASCENSOR,1,temperatura_operativa_C,27.470886319999966,744
CB,SEGUNDAPLANTAALTA:ASCENSOR,2,temperatura_operativa_C,28.854807201338993,672
CB,SEGUNDAPLANTAALTA:ASCENSOR,3,temperatura_operativa_C,30.16218989327001,744
CB,SEGUNDAPLANTAALTA:ASCENSOR,4,temperatura_operativa_C,28.508973280409187,720
CB,SEGUNDAPLANTAALTA:ASCENSOR,5,temperatura_operativa_C,28.345302069209932,744
CB,SEGUNDAPLANTAALTA:ASCENSOR,6,temperatura_operativa_C,26.53051395521426,720
CB,SEGUNDAPLANTAALTA:ASCENSOR,7,temperatura_operativa_C,24.914711764194465,744
CB,SEGUNDAPLANTAALTA:ASCENSOR,8,temperatura_operativa_C,24.87803386721405,744
