"Date/Time";"Glazing";"Walls";"Ceilings (int)";"Floors (int)";"Ground Floors";"Partitions (int)";"Roofs";"Floors (ext)";"Internal Natural vent.";"Sensible Cooling";"Mech Vent + Nat Vent + Infiltration";"External Air";"External Vent.";"Total Cooling";"General Lighting";"Miscellaneous";"Catering";"Computer + Equip";"Occupancy";"Solar Gains Interior Windows";"Solar Gains Exterior Windows";"Zone Sensible Heating";"Zone Sensible Cooling";"Air Temperature";"Radiant Temperature";"Operative Temperature";"Room Electricity";"Lighting";"Cooling (Electricity)";"Outside Dry-Bulb Temperature"
"";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"ac/h";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"°C";"°C";"°C";"kWh";"kWh";"kWh";"°C"
"14/02/2025";"-29,95809";"-8,046268";"2,953397";"-2,472734";"-31,83888";"-2,161585";"-1,666956";"-0,773917";"-1,822366";"-210,2162";"1,536791";"-0,691765";"-1,763942";"-335,3092";"44,19941";"95,17348";"0,877635";"13,83909";"18,87422";"8,173048";"111,901";"0,2310107";"-206,897";"27,17776";"28,66015";"27,91896";"109,8902";"44,19941";"177,7348";"25,95833"
"15/02/2025";"-25,36943";"0,028224";"3,061254";"-2,830431";"-34,51981";"-5,88675";"-2,219312";"-0,602599";"-1,105095";"-233,0102";"1,633308";"-0,13928";"0,558478";"-355,6633";"43,48851";"95,17348";"0,877635";"13,83909";"18,71832";"8,74389";"116,5117";"0,6154801";"-220,995";"27,32332";"28,95233";"28,13783";"109,8902";"43,48851";"188,7578";"26,62604"
"16/02/2025";"-29,74467";"-5,543118";"4,113177";"-2,946553";"-32,18082";"-2,640053";"-1,984121";"-0,880216";"-1,284664";"-105,5161";"0,8593766";"-1,958703";"-4,986571";"-115,5843";"1,883448";"94,24216";"0";"0";"0,4798918";"6,439796";"84,38827";"0,06398828";"-105,5943";"28,47641";"29,06423";"28,77032";"94,24216";"1,883448";"64,21351";"26,67639"
"17/02/2025";"-20,24712";"-0,473695";"3,650957";"-1,57536";"-29,09695";"3,908903";"-0,384612";"-0,544732";"-1,586855";"-225,2524";"1,64909";"-0,061913";"1,218988";"-364,4523";"44,19941";"95,17348";"0,877635";"13,83909";"18,73864";"5,941525";"84,21793";"0,7843677";"-211,3022";"27,28781";"28,78757";"28,03769";"109,8902";"44,19941";"193,8865";"26,8559"
"18/02/2025";"-18,25564";"1,512566";"3,122361";"-2,78086";"-31,30609";"-3,399664";"-1,686358";"-0,395167";"-0,625846";"-238,6905";"1,816047";"0,477248";"3,117429";"-392,8531";"44,19941";"95,17348";"0,877635";"13,83909";"18,60114";"6,757932";"98,30733";"1,061603";"-220,6138";"27,2945";"28,84903";"28,07177";"109,8902";"44,19941";"208,6915";"27,23195"
"19/02/2025";"-27,75381";"-4,449546";"3,5482";"-2,748662";"-34,71535";"-2,944015";"-1,606596";"-0,673449";"-1,663007";"-237,3658";"2,090431";"0,056333";"0,985231";"-413,4205";"44,19941";"95,17348";"0,877635";"13,83909";"18,52107";"8,93644";"121,0436";"0,7544593";"-222,9105";"27,26035";"28,93268";"28,09651";"109,8902";"44,19941";"219,1965";"26,64514"
"20/02/2025";"-34,32969";"-0,256734";"4,06903";"-2,48229";"-33,98113";"-1,407923";"-1,342579";"-0,708399";"-1,671678";"-221,6884";"1,607708";"-1,785725";"-5,217019";"-345,3704";"44,19941";"95,17348";"0,877635";"13,83909";"18,68988";"8,98438";"121,4937";"0,3723771";"-216,5777";"27,2346";"28,93014";"28,08237";"109,8902";"44,19941";"183,2003";"25,62014"
"21/02/2025";"-26,5961";"3,523747";"3,89972";"-3,903239";"-36,66359";"-6,527306";"-2,211789";"-0,379319";"1,035897";"-245,0747";"1,57067";"-1,213494";"-2,206669";"-382,0157";"44,19941";"95,23257";"0,877635";"13,83909";"18,68382";"9,33182";"124,2178";"1,087547";"-227,9318";"27,41962";"29,16574";"28,29268";"109,9493";"44,19941";"203,1846";"26,73889"
"22/02/2025";"-25,15183";"4,529585";"4,470157";"-2,994455";"-33,07094";"-0,71409";"-0,777462";"-0,463737";"-1,758758";"-238,5353";"1,722822";"-1,271304";"-1,522508";"-394,2097";"43,48851";"95,17348";"0,877635";"13,83909";"18,65848";"7,590498";"108,7085";"1,027855";"-221,8513";"27,42814";"29,13072";"28,27943";"109,8902";"43,48851";"209,217";"26,74167"
"23/02/2025";"-40,28148";"-8,671891";"5,663337";"-4,861692";"-36,0785";"-5,535514";"-2,368409";"-1,10558";"-2,159048";"-106,917";"1,228119";"-3,325968";"-7,289119";"-118,2837";"1,883448";"94,24216";"0";"0";"0,4566004";"7,984125";"113,0822";"0,08855154";"-107,108";"28,62919";"29,31933";"28,97426";"94,24216";"1,883448";"65,71317";"26,0309"
"24/02/2025";"-27,04896";"4,771394";"4,50132";"-3,330542";"-36,109";"-0,785898";"-1,808708";"-0,464218";"0,403309";"-243,0973";"1,490472";"-1,240859";"-2,089479";"-377,8228";"44,19941";"95,23257";"0,877635";"13,83909";"18,71262";"8,714041";"117,4849";"0,8844532";"-228,7086";"27,56816";"29,31304";"28,4406";"109,9493";"44,19941";"200,6918";"26,61319"
"25/02/2025";"-28,88272";"5,80335";"5,096078";"-2,606536";"-36,97624";"0,574507";"-0,920521";"-0,615176";"-2,752871";"-250,9982";"1,869539";"-0,649722";"0,554972";"-391,6299";"44,19941";"95,23257";"0,877635";"13,83909";"18,75722";"9,062385";"120,9764";"0,8726341";"-235,6554";"27,523";"29,36408";"28,44354";"109,9493";"44,19941";"207,8727";"26,75"
"26/02/2025";"-19,34223";"3,786434";"3,858515";"-2,586798";"-33,99993";"0,54148";"-0,916419";"-0,392214";"1,106005";"-251,697";"1,620041";"-0,295415";"1,398327";"-414,1547";"44,19941";"95,23257";"0,877635";"13,83909";"18,71546";"7,641965";"102,0593";"1,41333";"-229,8256";"27,49393";"29,19025";"28,34209";"109,9493";"44,19941";"220,1434";"27,45243"
