id_eso,ambiente,objeto,variable_unidad_original,frecuencia,mes,valor_original,estadisticos_adicionales_orden_eso
209,SAN CRISTOBAL (01-01:31-12),SEGUNDAPLANTAALTA:2PAXBAX01,Zone People Sensible Heating Rate [W],Monthly,1,6.459676849609939,0.0| 1| 1|10|24.827119648003234| 4|11|10
213,SAN CRISTOBAL (01-01:31-12),SEGUNDAPLANTAALTA:2PAXCAF,Zone People Sensible Heating Rate [W],Monthly,1,62.98700437199614,0.0| 1| 1|10|174.00117090962548|27|15|20
217,SAN CRISTOBAL (01-01:31-12),SEGUNDAPLANTAALTA:2PAXSUM,Zone People Sensible Heating Rate [W],Monthly,1,67.97764333191344,0.0| 1| 1|10|187.78584197002903| 8| 9|20
221,SAN CRISTOBAL (01-01:31-12),SEGUNDAPLANTAALTA:2PAXPAS,Zone People Sensible Heating Rate [W],Monthly,1,20.48179608324487,0.0| 1| 1|10|71.49346520599994| 1| 9|20
964,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXBAX01 MISCELLANEOUS GAIN,Other Equipment Electricity Rate [W],Monthly,1,1.0771970934139897,0.11457250000000002| 1| 1|10|2.29145| 1|10|10
1005,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXBAX01 MISCELLANEOUS GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1009,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXBAX01 MISCELLANEOUS GAIN,Other Equipment Total Heating Rate [W],Monthly,1,1.0771970934139897,0.11457250000000002| 1| 1|10|2.29145| 1|10|10
1013,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXREX01 COMPUTING GAIN,Other Equipment Electricity Rate [W],Monthly,1,10.155592741935508,0.0| 1| 1|10|27.984299999999999| 1| 9|10
1030,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXREX01 COMPUTING GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1034,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXREX01 COMPUTING GAIN,Other Equipment Total Heating Rate [W],Monthly,1,10.155592741935508,0.0| 1| 1|10|27.984299999999999| 1| 9|10
1038,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXSEX01 COMPUTING GAIN,Other Equipment Electricity Rate [W],Monthly,1,58.898758064515927,0.0| 1| 1|10|162.2988| 1| 9|10
1055,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXSEX01 COMPUTING GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1059,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXSEX01 COMPUTING GAIN,Other Equipment Total Heating Rate [W],Monthly,1,58.898758064515927,0.0| 1| 1|10|162.2988| 1| 9|10
1063,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX03 COMPUTING GAIN,Other Equipment Electricity Rate [W],Monthly,1,36.64515120967716,0.0| 1| 1|10|100.97775| 1| 9|10
1080,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX03 COMPUTING GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1084,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX03 COMPUTING GAIN,Other Equipment Total Heating Rate [W],Monthly,1,36.64515120967716,0.0| 1| 1|10|100.97775| 1| 9|10
1088,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX03 MISCELLANEOUS GAIN,Other Equipment Electricity Rate [W],Monthly,1,4.8860201612902929,0.0| 1| 1|10|13.4637| 1| 9|10
1093,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX03 MISCELLANEOUS GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1097,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX03 MISCELLANEOUS GAIN,Other Equipment Total Heating Rate [W],Monthly,1,4.8860201612902929,0.0| 1| 1|10|13.4637| 1| 9|10
1101,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX03 EQUIPMENT GAIN,Other Equipment Electricity Rate [W],Monthly,1,14.658060483871001,0.0| 1| 1|10|40.391099999999997| 1| 9|10
1106,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX03 EQUIPMENT GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1110,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX03 EQUIPMENT GAIN,Other Equipment Total Heating Rate [W],Monthly,1,14.658060483871001,0.0| 1| 1|10|40.391099999999997| 1| 9|10
1114,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX02 COMPUTING GAIN,Other Equipment Electricity Rate [W],Monthly,1,26.87697580645165,0.0| 1| 1|10|74.061| 1| 9|10
1131,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX02 COMPUTING GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1135,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX02 COMPUTING GAIN,Other Equipment Total Heating Rate [W],Monthly,1,26.87697580645165,0.0| 1| 1|10|74.061| 1| 9|10
1139,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX02 MISCELLANEOUS GAIN,Other Equipment Electricity Rate [W],Monthly,1,3.583596774193562,0.0| 1| 1|10|9.8748| 1| 9|10
1144,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX02 MISCELLANEOUS GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1148,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX02 MISCELLANEOUS GAIN,Other Equipment Total Heating Rate [W],Monthly,1,3.583596774193562,0.0| 1| 1|10|9.8748| 1| 9|10
1152,SAN CRISTOBAL (01-01:31-12),PLANTABAJA:PBXOFX02 EQUIPMENT GAIN,Other Equipment Electricity Rate [W],Monthly,1,10.750790322580603,0.0| 1| 1|10|29.6244| 1| 9|10
